epiweeks	rsvpos	rsvtest	rsv_positivity
201608	2262	21086	0.10727496917385944
201609	2087	21437	0.09735504035079535
201610	1801	23394	0.07698555185090195
201611	1496	21927	0.06822638755871756
201612	1127	19637	0.057391658603656366
201613	855	17887	0.04780007826913401
201614	667	15473	0.0431073482841078
201615	526	14316	0.0367421067337245
201616	377	13500	0.027925925925925927
201617	302	12160	0.024835526315789475
201618	169	10168	0.01662077104642014
201619	141	8963	0.01573133995314069
201620	109	8011	0.013606291349394582
201621	82	7527	0.010894114521057527
201622	86	6850	0.012554744525547445
201623	58	6288	0.009223918575063612
201624	38	6060	0.006270627062706271
201625	23	5692	0.004040758959943781
201626	22	4519	0.004868333702146493
201627	29	4882	0.00594018844735764
201628	28	5213	0.005371187416075196
201629	25	4831	0.00517491202649555
201630	27	4739	0.005697404515720616
201631	28	4693	0.00596633283613893
201632	30	4865	0.006166495375128468
201633	32	5093	0.006283133712939329
201634	36	5567	0.0064666786419974856
201635	53	6232	0.00850449293966624
201636	61	6242	0.009772508811278436
201637	76	7293	0.010420951597422186
201638	121	7972	0.015178123432012042
201639	143	8564	0.016697804764128913
201640	187	9069	0.02061969346124159
201641	241	9464	0.025464919695688926
201642	304	9866	0.030812892763024527
201643	367	10215	0.0359275575134606
201644	555	10883	0.05099696774786364
201645	649	11719	0.05538015189009301
201646	929	12562	0.07395319216685241
201647	975	11389	0.0856089208885767
201648	1457	14209	0.10254064325427546
201649	1654	14684	0.11263960773631163
201650	2139	16348	0.13084169317347688
201651	2728	17179	0.15879853309272948
201652	3466	20707	0.16738301057613367
201701	3856	23474	0.16426684842804806
201702	3279	23579	0.13906442173120148
201703	3344	23422	0.1427717530526855
201704	3562	24020	0.14829308909242297
201705	3172	24193	0.13111230521225148
201706	3285	26323	0.12479580594916993
201707	2846	26366	0.10794204657513465
201708	2422	25193	0.09613781606001667
201709	1906	21876	0.08712744560248674
201710	1529	20801	0.07350608143839238
201711	1237	19415	0.0637136234869946
201712	924	18686	0.049448785186770844
201713	703	17402	0.04039765544190323
201714	582	16300	0.035705521472392636
201715	446	14952	0.029828785446762974
201716	326	13469	0.02420372707699161
201717	226	12348	0.01830255911888565
201718	152	10938	0.01389650758822454
201719	121	10032	0.01206140350877193
201720	99	9843	0.010057909174032308
201721	74	8564	0.008640822045773003
201722	68	7811	0.008705671488925874
201723	55	7374	0.007458638459452129
201724	47	6771	0.006941367597105302
201725	36	6480	0.005555555555555556
201726	25	5007	0.004993009786299181
201727	32	4970	0.006438631790744467
201728	39	5226	0.007462686567164179
201729	55	5128	0.010725429017160686
201730	41	4937	0.008304638444399434
201731	40	4789	0.008352474420547087
201732	43	4844	0.008876961189099917
201733	64	5424	0.011799410029498525
201734	50	5737	0.008715356458079136
201735	70	6335	0.011049723756906077
201736	75	6879	0.010902747492368076
201737	92	8401	0.01095107725270801
201738	109	9029	0.0120722117620999
201739	137	9581	0.014299133702118777
201740	184	10536	0.017463933181473046
201741	251	10912	0.023002199413489736
201742	359	11417	0.031444337391609005
201743	478	12127	0.03941617877463511
201744	622	12505	0.04974010395841663
201745	965	13767	0.07009515508099078
201746	1277	14692	0.08691805063980397
201747	1369	13544	0.10107796810395747
